dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.347468,4.817672,0.000050,0.004996,0.249813,12.490664,4.485818
0.020000,4.347481,4.817727,0.000107,0.002838,-0.107904,-17.885865,4.485979
0.020000,4.347502,4.817819,0.000201,0.004731,0.094658,10.128102,4.486247
0.020000,4.347532,4.817948,0.000334,0.006626,0.094736,0.003887,4.486622
0.020000,4.347570,4.818114,0.000504,0.008523,0.094845,0.005438,4.487105
0.020000,4.347613,4.818302,0.000697,0.009609,0.054296,-2.027419,4.487695
0.020000,4.347523,4.817909,0.001100,0.020157,0.527382,23.654288,4.488394
0.020000,4.347420,4.817456,0.001564,0.023222,0.153259,-18.706147,4.489201
0.020000,4.347304,4.816943,0.002090,0.026297,0.153761,0.025093,4.490117
0.020000,4.347175,4.816370,0.002677,0.029354,0.152841,-0.045976,4.491142
0.020000,4.347033,4.815738,0.003325,0.032409,0.152751,-0.004509,4.492278
0.020000,4.346879,4.815046,0.004034,0.035433,0.151202,-0.077457,4.493525
0.020000,4.346712,4.814295,0.004803,0.038472,0.151963,0.038031,4.494884
0.020000,4.346534,4.813485,0.005633,0.041477,0.150244,-0.085941,4.496355
0.020000,4.346344,4.812616,0.006522,0.044466,0.149435,-0.040428,4.497940
0.020000,4.346143,4.811689,0.007471,0.047440,0.148723,-0.035628,4.499639
0.020000,4.345931,4.810703,0.008479,0.050398,0.147902,-0.041052,4.501453
0.020000,4.345708,4.809660,0.009546,0.053338,0.146972,-0.046479,4.503384
0.020000,4.345476,4.808559,0.010671,0.056256,0.145934,-0.051902,4.505433
0.020000,4.345234,4.807401,0.011854,0.059152,0.144788,-0.057311,4.507601
0.020000,4.344983,4.806186,0.013094,0.062023,0.143534,-0.062698,4.509890
0.020000,4.344724,4.804915,0.014392,0.064866,0.142173,-0.068054,4.512300
0.020000,4.344456,4.803588,0.015745,0.067680,0.140705,-0.073370,4.514833
0.020000,4.344182,4.802205,0.017155,0.070492,0.140596,-0.005449,4.517491
0.020000,4.343900,4.800768,0.018620,0.073247,0.137725,-0.143584,4.520275
0.020000,4.343612,4.799276,0.020140,0.075984,0.136848,-0.043811,4.523187
0.020000,4.343318,4.797730,0.021714,0.078689,0.135288,-0.078035,4.526230
0.020000,4.343020,4.796130,0.023341,0.081363,0.133704,-0.079183,4.529403
0.020000,4.342717,4.794478,0.025021,0.083992,0.131418,-0.114281,4.532710
0.020000,4.342410,4.792773,0.026753,0.086613,0.131041,-0.018878,4.536153
0.020000,4.342100,4.791016,0.028536,0.089176,0.128144,-0.144850,4.539733
0.020000,4.341789,4.789209,0.030370,0.091704,0.126409,-0.086748,4.543453
0.020000,4.341476,4.787351,0.032254,0.094196,0.124604,-0.090271,4.547315
0.020000,4.341162,4.785444,0.034187,0.096649,0.122685,-0.095905,4.551320
0.020000,4.340848,4.783488,0.036169,0.099063,0.120657,-0.101403,4.555472
0.020000,4.340535,4.781483,0.038197,0.101433,0.118523,-0.106738,4.559773
0.020000,4.340224,4.779431,0.040272,0.103759,0.116285,-0.111885,4.564225
0.020000,4.339916,4.777333,0.042393,0.106038,0.113949,-0.116816,4.568831
0.020000,4.339611,4.775189,0.044559,0.108278,0.111988,-0.098040,4.573593
0.020000,4.339311,4.773000,0.046768,0.110475,0.109860,-0.106401,4.578514
0.020000,4.339016,4.770767,0.049020,0.112607,0.106599,-0.163048,4.583596
0.020000,4.338727,4.768491,0.051315,0.114717,0.105537,-0.053108,4.588843
0.020000,4.338446,4.766173,0.053650,0.116751,0.101702,-0.191753,4.594256
0.020000,4.338173,4.763814,0.056025,0.118761,0.100467,-0.061718,4.599839
0.020000,4.337908,4.761414,0.058439,0.120706,0.097276,-0.159575,4.605596
0.020000,4.337654,4.758975,0.060891,0.122601,0.094756,-0.125980,4.611527
0.020000,4.337411,4.756498,0.063380,0.124449,0.092380,-0.118820,4.617636
0.020000,4.337180,4.753984,0.065905,0.126248,0.089941,-0.121959,4.623927
0.020000,4.336962,4.751433,0.068465,0.127997,0.087451,-0.124494,4.630402
0.020000,4.336758,4.748847,0.071059,0.129695,0.084923,-0.126364,4.637064
0.020000,4.336570,4.746227,0.073686,0.131343,0.082373,-0.127506,4.643916
0.020000,4.336397,4.743574,0.076345,0.132939,0.079816,-0.127856,4.650959
