dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.003370,4.896996,0.000050,0.004996,0.249813,12.490664,4.485818
0.020000,4.003370,4.896996,0.000200,0.009993,0.249813,0.000000,4.485979
0.020000,4.003370,4.896996,0.000450,0.014989,0.249813,0.000000,4.486247
0.020000,4.003370,4.896996,0.000799,0.019985,0.249813,-0.000000,4.486622
0.020000,4.003370,4.896996,0.001249,0.024981,0.249813,0.000000,4.487105
0.020000,4.003366,4.896980,0.001799,0.029978,0.249813,-0.000000,4.487695
0.020000,4.003221,4.896347,0.002448,0.034974,0.249813,0.000000,4.488394
0.020000,4.003055,4.895616,0.003198,0.039970,0.249813,-0.000000,4.489201
0.020000,4.002868,4.894788,0.004047,0.044966,0.249813,0.000000,4.490117
0.020000,4.002659,4.893862,0.004996,0.049963,0.249813,0.000000,4.491142
0.020000,4.002429,4.892838,0.006045,0.054959,0.249813,-0.000000,4.492278
0.020000,4.002179,4.891717,0.007195,0.059955,0.249813,0.000000,4.493525
0.020000,4.001908,4.890497,0.008444,0.064951,0.249813,-0.000000,4.494884
0.020000,4.001618,4.889179,0.009793,0.069948,0.249813,0.000000,4.496355
0.020000,4.001309,4.887764,0.011242,0.074944,0.249813,0.000000,4.497940
0.020000,4.000981,4.886250,0.012790,0.079940,0.249813,-0.000000,4.499639
0.020000,4.000634,4.884639,0.014439,0.084937,0.249813,0.000000,4.501453
0.020000,4.000269,4.882928,0.016188,0.089933,0.249813,0.000000,4.503384
0.020000,3.999888,4.881119,0.018037,0.094929,0.249813,0.000000,4.505433
0.020000,3.999489,4.879212,0.019985,0.099925,0.249813,0.000000,4.507601
0.020000,3.999075,4.877206,0.022034,0.104922,0.249813,-0.000000,4.509890
0.020000,3.998646,4.875101,0.024182,0.109918,0.249813,0.000000,4.512300
0.020000,3.998202,4.872897,0.026430,0.114914,0.249813,0.000000,4.514833
0.020000,3.997744,4.870594,0.028778,0.119910,0.249813,0.000000,4.517491
0.020000,3.997273,4.868191,0.031227,0.124907,0.249813,-0.000000,4.520275
0.020000,3.996790,4.865689,0.033775,0.129903,0.249813,0.000000,4.523187
0.020000,3.996296,4.863088,0.036423,0.134899,0.249813,0.000000,4.526230
0.020000,3.995792,4.860386,0.039171,0.139895,0.249813,0.000000,4.529403
0.020000,3.995278,4.857586,0.042019,0.144892,0.249813,-0.000000,4.532710
0.020000,3.994756,4.854684,0.044966,0.149888,0.249813,0.000000,4.536153
0.020000,3.994227,4.851683,0.048014,0.154884,0.249813,-0.000000,4.539733
0.020000,3.993692,4.848581,0.051162,0.159880,0.249813,-0.000000,4.543453
0.020000,3.993152,4.845378,0.054409,0.164877,0.249813,0.000000,4.547315
0.020000,3.992609,4.842075,0.057757,0.169873,0.249813,0.000000,4.551320
0.020000,3.992063,4.838671,0.061204,0.174869,0.249813,0.000000,4.555472
0.020000,3.991516,4.835166,0.064752,0.179866,0.249813,-0.000000,4.559773
0.020000,3.990970,4.831560,0.068399,0.184862,0.249813,0.000000,4.564225
0.020000,3.990425,4.827853,0.072146,0.189858,0.249813,0.000000,4.568831
0.020000,3.989884,4.824044,0.075993,0.194854,0.249813,-0.000000,4.573593
0.020000,3.989347,4.820134,0.079940,0.199851,0.249813,0.000000,4.578514
0.020000,3.988817,4.816122,0.083987,0.204847,0.249813,-0.000000,4.583596
0.020000,3.988295,4.812008,0.088134,0.209843,0.249813,-0.000000,4.588843
0.020000,3.987784,4.807792,0.092381,0.214839,0.249813,0.000000,4.594256
