dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.659271,4.976321,0.000050,0.004996,0.249813,12.490664,4.485818
0.020000,3.659258,4.976266,0.000107,0.002838,-0.107904,-17.885865,4.485979
0.020000,3.659237,4.976173,0.000201,0.004731,0.094658,10.128102,4.486247
0.020000,3.659207,4.976044,0.000334,0.006626,0.094736,0.003887,4.486622
0.020000,3.659169,4.975878,0.000504,0.008523,0.094845,0.005438,4.487105
0.020000,3.659119,4.975659,0.000729,0.011237,0.135698,2.042696,4.487695
0.020000,3.658920,4.974785,0.001626,0.044829,1.679597,77.194944,4.488394
0.020000,3.658690,4.973776,0.002660,0.051712,0.344134,-66.773187,4.489201
0.020000,3.658431,4.972633,0.003833,0.058645,0.346660,0.126311,4.490117
0.020000,3.658143,4.971353,0.005144,0.065569,0.346212,-0.022387,4.491142
0.020000,3.657825,4.969938,0.006595,0.072525,0.347807,0.079772,4.492278
0.020000,3.657479,4.968387,0.008184,0.079452,0.346330,-0.073888,4.493525
0.020000,3.657105,4.966699,0.009913,0.086456,0.350225,0.194750,4.494884
0.020000,3.656703,4.964874,0.011781,0.093431,0.348754,-0.073534,4.496355
0.020000,3.656274,4.962912,0.013790,0.100422,0.349518,0.038191,4.497940
0.020000,3.655819,4.960812,0.015939,0.107436,0.350698,0.058994,4.499639
0.020000,3.655337,4.958574,0.018228,0.114472,0.351835,0.056865,4.501453
0.020000,3.654831,4.956197,0.020659,0.121531,0.352930,0.054735,4.503384
0.020000,3.654300,4.953680,0.023231,0.128611,0.353982,0.052605,4.505433
0.020000,3.653745,4.951023,0.025945,0.135710,0.354991,0.050479,4.507601
0.020000,3.653167,4.948225,0.028802,0.142830,0.355959,0.048358,4.509890
0.020000,3.652567,4.945287,0.031801,0.149967,0.356883,0.046243,4.512300
0.020000,3.651947,4.942206,0.034943,0.157123,0.357766,0.044138,4.514833
0.020000,3.651306,4.938982,0.038231,0.164363,0.362028,0.213067,4.517491
0.020000,3.650646,4.935615,0.041662,0.171564,0.360069,-0.097917,4.520275
0.020000,3.649968,4.932103,0.045238,0.178824,0.362969,0.145002,4.523187
0.020000,3.649274,4.928446,0.048961,0.186114,0.364489,0.075971,4.526230
0.020000,3.648564,4.924643,0.052829,0.193437,0.366169,0.083995,4.529403
0.020000,3.647839,4.920694,0.056845,0.200765,0.366383,0.010741,4.532710
0.020000,3.647102,4.916595,0.061009,0.208192,0.371380,0.249838,4.536153
0.020000,3.646354,4.912349,0.065321,0.215603,0.370558,-0.041085,4.539733
0.020000,3.645596,4.907953,0.069782,0.223058,0.372723,0.108242,4.543453
0.020000,3.644829,4.903406,0.074393,0.230557,0.374934,0.110535,4.547315
0.020000,3.644056,4.898707,0.079155,0.238098,0.377083,0.107434,4.551320
0.020000,3.643278,4.893855,0.084069,0.245682,0.379168,0.104270,4.555472
0.020000,3.642497,4.888850,0.089135,0.253305,0.381189,0.101040,4.559773
0.020000,3.641715,4.883689,0.094354,0.260968,0.383144,0.097743,4.564225
0.020000,3.640934,4.878373,0.099727,0.268669,0.385031,0.094376,4.568831
0.020000,3.640156,4.872899,0.105256,0.276430,0.388053,0.151064,4.573593
