dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.298162,3.495895,0.000124,0.012438,0.621876,31.093815,3.184229
0.020000,5.298286,3.495900,0.000249,0.006210,-0.311400,-46.663799,3.184581
0.020000,5.298194,3.495896,0.000341,0.004633,-0.078844,11.627778,3.185285
0.020000,5.297076,3.495847,0.001460,0.055951,2.565909,132.237659,3.186343
0.020000,5.295587,3.495779,0.002951,0.074533,0.929111,-81.839898,3.187757
0.020000,5.293728,3.495691,0.004812,0.093069,0.926792,-0.115979,3.189530
0.020000,5.291500,3.495582,0.007043,0.111533,0.923231,-0.178043,3.191666
0.020000,5.288905,3.495449,0.009641,0.129909,0.918750,-0.224020,3.194170
0.020000,5.285945,3.495289,0.012605,0.148194,0.914297,-0.222687,3.197048
0.020000,5.282623,3.495099,0.015932,0.166363,0.908429,-0.293396,3.200305
0.020000,5.278942,3.494876,0.019620,0.184404,0.902068,-0.318043,3.203950
0.020000,5.274904,3.494616,0.023666,0.202299,0.894757,-0.365533,3.207989
0.020000,5.270514,3.494314,0.028067,0.220043,0.887168,-0.379459,3.212433
0.020000,5.265775,3.493966,0.032819,0.237602,0.877937,-0.461565,3.217291
0.020000,5.260691,3.493567,0.037919,0.254975,0.868674,-0.463108,3.222574
0.020000,5.255267,3.493111,0.043361,0.272131,0.857787,-0.544375,3.228294
0.020000,5.249509,3.492593,0.049142,0.289058,0.846341,-0.572277,3.234464
0.020000,5.243423,3.492006,0.055257,0.305744,0.834308,-0.601675,3.241098
0.020000,5.237014,3.491343,0.061701,0.322157,0.820655,-0.682634,3.248211
0.020000,5.230289,3.490597,0.068466,0.338288,0.806542,-0.705679,3.255820
0.020000,5.223257,3.489762,0.075548,0.354108,0.791037,-0.775231,3.263941
0.020000,5.215924,3.488828,0.082941,0.369610,0.775051,-0.799277,3.272594
0.020000,5.208299,3.487788,0.090636,0.384757,0.757353,-0.884937,3.281797
0.020000,5.200392,3.486633,0.098627,0.399539,0.739113,-0.911963,3.291572
