dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.283111,3.848697,0.000050,0.004988,0.249394,12.469679,3.184177
0.020000,5.283111,3.848697,0.000200,0.009976,0.249394,0.000000,3.184282
0.020000,5.283111,3.848697,0.000449,0.014964,0.249394,0.000000,3.184459
0.020000,5.283111,3.848697,0.000798,0.019951,0.249394,-0.000000,3.184706
0.020000,5.283111,3.848697,0.001247,0.024939,0.249394,0.000000,3.185023
0.020000,5.282591,3.848675,0.001796,0.029927,0.249394,-0.000000,3.185412
0.020000,5.281944,3.848646,0.002444,0.034915,0.249394,0.000000,3.185871
0.020000,5.281196,3.848613,0.003192,0.039903,0.249394,-0.000000,3.186402
0.020000,5.280349,3.848575,0.004040,0.044891,0.249394,0.000000,3.187004
0.020000,5.279402,3.848531,0.004988,0.049879,0.249394,0.000000,3.187677
0.020000,5.278356,3.848483,0.006035,0.054867,0.249394,-0.000000,3.188423
0.020000,5.277210,3.848429,0.007183,0.059854,0.249394,0.000000,3.189241
0.020000,5.275965,3.848369,0.008430,0.064842,0.249394,-0.000000,3.190132
0.020000,5.274620,3.848303,0.009776,0.069830,0.249394,0.000000,3.191096
0.020000,5.273175,3.848230,0.011223,0.074818,0.249394,-0.000000,3.192133
0.020000,5.271631,3.848151,0.012769,0.079806,0.249394,0.000000,3.193244
0.020000,5.269987,3.848065,0.014415,0.084794,0.249394,0.000000,3.194430
0.020000,5.268244,3.847972,0.016161,0.089782,0.249394,-0.000000,3.195691
0.020000,5.266401,3.847871,0.018006,0.094770,0.249394,0.000000,3.197027
0.020000,5.264459,3.847762,0.019951,0.099757,0.249394,0.000000,3.198440
0.020000,5.262417,3.847644,0.021997,0.104745,0.249394,-0.000000,3.199929
0.020000,5.260276,3.847517,0.024141,0.109733,0.249394,0.000000,3.201496
0.020000,5.258036,3.847381,0.026386,0.114721,0.249394,0.000000,3.203141
0.020000,5.255696,3.847235,0.028730,0.119709,0.249394,0.000000,3.204865
0.020000,5.253257,3.847078,0.031174,0.124697,0.249394,-0.000000,3.206668
0.020000,5.250719,3.846910,0.033718,0.129685,0.249394,0.000000,3.208552
0.020000,5.248081,3.846731,0.036362,0.134673,0.249394,-0.000000,3.210517
0.020000,5.245345,3.846539,0.039105,0.139660,0.249394,0.000000,3.212564
0.020000,5.242509,3.846335,0.041948,0.144648,0.249394,-0.000000,3.214695
0.020000,5.239574,3.846116,0.044891,0.149636,0.249394,0.000000,3.216909
0.020000,5.236540,3.845884,0.047933,0.154624,0.249394,0.000000,3.219209
0.020000,5.233408,3.845637,0.051076,0.159612,0.249394,0.000000,3.221594
0.020000,5.230176,3.845374,0.054318,0.164600,0.249394,0.000000,3.224067
0.020000,5.226846,3.845094,0.057660,0.169588,0.249394,0.000000,3.226628
0.020000,5.223417,3.844797,0.061101,0.174576,0.249394,-0.000000,3.229279
0.020000,5.219890,3.844482,0.064643,0.179563,0.249394,0.000000,3.232020
0.020000,5.216264,3.844148,0.068284,0.184551,0.249394,0.000000,3.234854
0.020000,5.212540,3.843794,0.072025,0.189539,0.249394,0.000000,3.237780
0.020000,5.208718,3.843420,0.075866,0.194527,0.249394,-0.000000,3.240801
0.020000,5.204797,3.843023,0.079806,0.199515,0.249394,0.000000,3.243918
0.020000,5.200779,3.842604,0.083846,0.204503,0.249394,-0.000000,3.247132
0.020000,5.196663,3.842161,0.087986,0.209491,0.249394,0.000000,3.250446
0.020000,5.192449,3.841694,0.092226,0.214478,0.249394,0.000000,3.253859
0.020000,5.188138,3.841200,0.096565,0.219466,0.249394,-0.000000,3.257375
0.020000,5.183729,3.840679,0.101004,0.224454,0.249394,0.000000,3.260993
0.020000,5.179223,3.840130,0.105543,0.229442,0.249394,-0.000000,3.264718
0.020000,5.174621,3.839551,0.110182,0.234430,0.249394,0.000000,3.268548
0.020000,5.169922,3.838942,0.114921,0.239418,0.249394,-0.000000,3.272488
0.020000,5.165126,3.838301,0.119759,0.244406,0.249394,0.000000,3.276538
0.020000,5.160235,3.837627,0.124697,0.249394,0.249394,-0.000000,3.280700
0.020000,5.155247,3.836917,0.129735,0.254381,0.249394,0.000000,3.284976
0.020000,5.150164,3.836172,0.134872,0.259369,0.249394,0.000000,3.289369
0.020000,5.144985,3.835389,0.140109,0.264357,0.249394,-0.000000,3.293879
0.020000,5.139712,3.834567,0.145446,0.269345,0.249394,0.000000,3.298509
0.020000,5.134344,3.833705,0.150883,0.274333,0.249394,0.000000,3.303262
0.020000,5.128882,3.832801,0.156420,0.279321,0.249394,0.000000,3.308139
0.020000,5.123326,3.831852,0.162056,0.284309,0.249394,-0.000000,3.313142
0.020000,5.117677,3.830859,0.167792,0.289297,0.249394,0.000000,3.318274
0.020000,5.111934,3.829818,0.173628,0.294284,0.249394,-0.000000,3.323536
0.020000,5.106100,3.828728,0.179563,0.299272,0.249394,0.000000,3.328932
0.020000,5.100173,3.827588,0.185599,0.304260,0.249394,0.000000,3.334462
0.020000,5.094155,3.826395,0.191734,0.309248,0.249394,0.000000,3.340131
0.020000,5.088046,3.825147,0.197969,0.314236,0.249394,0.000000,3.345940
0.020000,5.081848,3.823843,0.204303,0.319224,0.249394,0.000000,3.351891
0.020000,5.075559,3.822481,0.210738,0.324212,0.249394,0.000000,3.357987
0.020000,5.069182,3.821058,0.217272,0.329200,0.249394,-0.000000,3.364231
0.020000,5.062716,3.819573,0.223906,0.334187,0.249394,0.000000,3.370624
0.020000,5.056164,3.818023,0.230639,0.339175,0.249394,0.000000,3.377170
0.020000,5.049524,3.816405,0.237473,0.344163,0.249394,-0.000000,3.383871
0.020000,5.042799,3.814719,0.244406,0.349151,0.249394,0.000000,3.390728
0.020000,5.035990,3.812961,0.251439,0.354139,0.249394,0.000000,3.397746
0.020000,5.029096,3.811129,0.258571,0.359127,0.249394,0.000000,3.404926
0.020000,5.022120,3.809221,0.265804,0.364115,0.249394,0.000000,3.412271
0.020000,5.015063,3.807234,0.273136,0.369103,0.249394,0.000000,3.419782
0.020000,5.007924,3.805166,0.280568,0.374090,0.249394,0.000000,3.427464
