dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.268041,4.201499,0.000199,0.019886,0.994318,49.715909,3.184282
0.020000,5.267842,4.201491,0.000397,0.009931,-0.497787,-74.605247,3.184844
0.020000,5.266137,4.201416,0.002105,0.085366,3.771788,213.478732,3.185971
0.020000,5.263155,4.201281,0.005090,0.149241,3.193738,-28.902472,3.187666
0.020000,5.259176,4.201093,0.009073,0.199153,2.495576,-34.908118,3.189935
0.020000,5.254199,4.200845,0.014057,0.249200,2.502348,0.338607,3.192785
0.020000,5.248218,4.200528,0.020045,0.299426,2.511332,0.449166,3.196228
0.020000,5.241232,4.200132,0.027043,0.349870,2.522197,0.543297,3.200276
0.020000,5.233236,4.199643,0.035054,0.400566,2.534810,0.630642,3.204942
0.020000,5.224224,4.199048,0.044085,0.451559,2.549618,0.740405,3.210243
0.020000,5.214192,4.198328,0.054143,0.502882,2.566137,0.825931,3.216199
0.020000,5.203134,4.197465,0.065234,0.554587,2.585293,0.957810,3.222831
0.020000,5.191044,4.196436,0.077369,0.606717,2.606466,1.058629,3.230162
0.020000,5.177914,4.195217,0.090555,0.659308,2.629579,1.155676,3.238220
0.020000,5.163738,4.193780,0.104803,0.712424,2.655768,1.309452,3.247033
0.020000,5.148509,4.192094,0.120126,0.766108,2.684197,1.421419,3.256634
0.020000,5.132220,4.190126,0.136534,0.820399,2.714574,1.518865,3.267058
0.020000,5.114862,4.187837,0.154041,0.875371,2.748615,1.702047,3.278342
0.020000,5.096431,4.185187,0.172662,0.931056,2.784235,1.780999,3.290528
0.020000,5.076919,4.182128,0.192413,0.987518,2.823103,1.943425,3.303659
0.020000,5.056321,4.178612,0.213309,1.044804,2.864309,2.060297,3.317782
0.020000,5.034633,4.174581,0.235368,1.102960,2.907796,2.174334,3.332946
0.020000,5.011853,4.169976,0.258608,1.162029,2.953419,2.281137,3.349203
0.020000,4.987982,4.164731,0.283049,1.222046,3.000868,2.372439,3.366607
0.020000,4.963022,4.158774,0.308710,1.283043,3.049830,2.448105,3.385214
0.020000,4.936981,4.152027,0.335611,1.345022,3.098950,2.456000,3.405078
0.020000,4.909872,4.144406,0.363770,1.407985,3.148153,2.460176,3.426256
