dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.422679,1.056924,0.000125,0.012482,0.624086,31.204283,0.000390
0.020000,0.422715,1.056924,0.000161,0.001815,-0.533317,-57.870123,0.000287
0.020000,0.422787,1.056924,0.000234,0.003625,0.090464,31.189059,0.000082
0.020000,0.423994,1.056924,0.001440,0.060336,2.835556,137.254563,6.282960
0.020000,0.426135,1.056923,0.003581,0.107054,2.335912,-24.982204,6.282552
0.020000,0.428811,1.056921,0.006257,0.133772,1.335880,-50.001597,6.282045
0.020000,0.432020,1.056916,0.009466,0.160458,1.334329,-0.077554,6.281441
0.020000,0.435762,1.056909,0.013208,0.187108,1.332516,-0.090620,6.280740
0.020000,0.440036,1.056896,0.017482,0.213715,1.330331,-0.109245,6.279947
0.020000,0.444842,1.056879,0.022288,0.240273,1.327896,-0.121786,6.279063
0.020000,0.450177,1.056854,0.027623,0.266776,1.325152,-0.137186,6.278092
0.020000,0.456041,1.056821,0.033488,0.293218,1.322108,-0.152185,6.277038
0.020000,0.462433,1.056778,0.039880,0.319593,1.318744,-0.168196,6.275903
0.020000,0.469351,1.056724,0.046798,0.345895,1.315084,-0.183017,6.274693
0.020000,0.476793,1.056656,0.054240,0.372118,1.311166,-0.195880,6.273411
0.020000,0.484757,1.056572,0.062205,0.398255,1.306843,-0.216139,6.272063
0.020000,0.493243,1.056472,0.070691,0.424302,1.302367,-0.223798,6.270653
0.020000,0.502247,1.056353,0.079696,0.450253,1.297524,-0.242193,6.269188
0.020000,0.511768,1.056212,0.089218,0.476100,1.292376,-0.257395,6.267672
0.020000,0.521804,1.056048,0.099255,0.501840,1.286990,-0.269270,6.266113
0.020000,0.532351,1.055860,0.109804,0.527465,1.281256,-0.286720,6.264516
0.020000,0.543409,1.055644,0.120864,0.552971,1.275306,-0.297508,6.262888
0.020000,0.554973,1.055400,0.132431,0.578351,1.268993,-0.315626,6.261237
0.020000,0.567042,1.055125,0.144503,0.603602,1.262515,-0.323922,6.259569
0.020000,0.579612,1.054817,0.157077,0.628714,1.255648,-0.343359,6.257893
0.020000,0.592682,1.054476,0.170151,0.653685,1.248536,-0.355565,6.256217
0.020000,0.606247,1.054099,0.183721,0.678509,1.241184,-0.367593,6.254548
0.020000,0.620304,1.053684,0.197785,0.703180,1.233551,-0.381683,6.252896
0.020000,0.634851,1.053231,0.212338,0.727692,1.225618,-0.396649,6.251270
0.020000,0.649884,1.052739,0.227379,0.752041,1.217417,-0.410018,6.249678
0.020000,0.665399,1.052207,0.242904,0.776220,1.208976,-0.422053,6.248131
0.020000,0.681393,1.051634,0.258908,0.800225,1.200255,-0.436088,6.246638
0.020000,0.697863,1.051020,0.275389,0.824050,1.191251,-0.450172,6.245210
0.020000,0.714804,1.050365,0.292343,0.847690,1.181971,-0.464013,6.243856
0.020000,0.732213,1.049669,0.309766,0.871138,1.172441,-0.476495,6.242589
0.020000,0.750085,1.048932,0.327653,0.894391,1.162634,-0.490356,6.241418
0.020000,0.768418,1.048156,0.346002,0.917442,1.152528,-0.505284,6.240355
0.020000,0.787206,1.047341,0.364808,0.940285,1.142141,-0.519364,6.239413
0.020000,0.806445,1.046491,0.384066,0.962914,1.131482,-0.532963,6.238603
0.020000,0.826132,1.045606,0.403773,0.985325,1.120533,-0.547429,6.237937
0.020000,0.846261,1.044689,0.423923,1.007510,1.109249,-0.564224,6.237429
0.020000,0.866829,1.043743,0.444512,1.029464,1.097688,-0.578015,6.237091
0.020000,0.887830,1.042773,0.465536,1.051179,1.085790,-0.594915,6.236938
0.020000,0.909260,1.041781,0.486989,1.072651,1.073567,-0.611136,6.236982
0.020000,0.931114,1.040773,0.508866,1.093871,1.061001,-0.628299,6.237238
0.020000,0.953388,1.039754,0.531163,1.114832,1.048079,-0.646126,6.237720
0.020000,0.976075,1.038729,0.553873,1.135528,1.034786,-0.664657,6.238445
0.020000,0.999171,1.037706,0.576992,1.155951,1.021125,-0.683043,6.239426
0.020000,1.022671,1.036691,0.600514,1.176091,1.007039,-0.704313,6.240681
0.020000,1.046569,1.035693,0.624433,1.195943,0.992565,-0.723695,6.242225
0.020000,1.070860,1.034719,0.648743,1.215496,0.977650,-0.745753,6.244076
0.020000,1.095537,1.033780,0.673438,1.234741,0.962274,-0.768778,6.246250
0.020000,1.120594,1.032885,0.698511,1.253671,0.946484,-0.789501,6.248767
0.020000,1.146026,1.032045,0.723957,1.272274,0.930174,-0.815519,6.251643
0.020000,1.171825,1.031273,0.749768,1.290542,0.913410,-0.838208,6.254899
0.020000,1.197985,1.030579,0.775937,1.308465,0.896136,-0.863673,6.258553
0.020000,1.224499,1.029979,0.802458,1.326033,0.878368,-0.888388,6.262626
0.020000,1.251359,1.029487,0.829322,1.343235,0.860100,-0.913413,6.267139
0.020000,1.278558,1.029117,0.856524,1.360061,0.841337,-0.938143,6.272113
0.020000,1.306087,1.028886,0.884054,1.376504,0.822139,-0.959927,6.277569
0.020000,1.333938,1.028812,0.911905,1.392552,0.802412,-0.986344,0.000345
0.020000,1.362102,1.028912,0.940069,1.408199,0.782338,-1.003698,0.006834
0.020000,1.390569,1.029206,0.968537,1.423436,0.761858,-1.023966,0.013873
0.020000,1.419330,1.029713,0.997303,1.438258,0.741078,-1.039001,0.021487
0.020000,1.448373,1.030455,1.026356,1.452660,0.720109,-1.048491,0.029700
0.020000,1.477689,1.031454,1.055689,1.466641,0.699051,-1.052861,0.038534
0.020000,1.507266,1.032734,1.085293,1.480201,0.677996,-1.052786,0.048014
0.020000,1.537090,1.034317,1.115159,1.493344,0.657137,-1.042949,0.058163
0.020000,1.567151,1.036229,1.145281,1.506079,0.636750,-1.019347,0.069005
0.020000,1.597435,1.038497,1.175649,1.518418,0.616970,-0.988984,0.080562
0.020000,1.627928,1.041146,1.206257,1.530381,0.598138,-0.941593,0.092855
0.020000,1.658615,1.044204,1.237097,1.541992,0.580560,-0.878889,0.105904
0.020000,1.689484,1.047699,1.268163,1.553285,0.564634,-0.796332,0.119728
