dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.422816,0.703801,0.000125,0.012482,0.624086,31.204283,0.000390
0.020000,0.422816,0.703801,0.000624,0.037445,1.248171,31.204283,0.000287
0.020000,0.422816,0.703801,0.001623,0.062409,1.248171,0.000000,0.000082
0.020000,0.423915,0.703801,0.003120,0.087372,1.248171,0.000000,6.282960
0.020000,0.425912,0.703800,0.005118,0.112335,1.248171,-0.000000,6.282552
0.020000,0.428408,0.703798,0.007614,0.137299,1.248171,0.000000,6.282045
0.020000,0.431404,0.703793,0.010609,0.162262,1.248171,0.000000,6.281441
0.020000,0.434899,0.703786,0.014104,0.187226,1.248171,-0.000000,6.280740
0.020000,0.438893,0.703775,0.018098,0.212189,1.248171,0.000000,6.279947
0.020000,0.443386,0.703758,0.022592,0.237153,1.248171,0.000000,6.279063
0.020000,0.448379,0.703735,0.027585,0.262116,1.248171,0.000000,6.278092
0.020000,0.453871,0.703704,0.033077,0.287079,1.248171,0.000000,6.277038
0.020000,0.459862,0.703664,0.039068,0.312043,1.248171,0.000000,6.275903
0.020000,0.466352,0.703613,0.045558,0.337006,1.248171,0.000000,6.274693
0.020000,0.473341,0.703549,0.052548,0.361970,1.248171,-0.000000,6.273411
0.020000,0.480830,0.703471,0.060037,0.386933,1.248171,0.000000,6.272063
0.020000,0.488818,0.703376,0.068025,0.411897,1.248171,0.000000,6.270653
0.020000,0.497305,0.703264,0.076513,0.436860,1.248171,0.000000,6.269188
0.020000,0.506290,0.703131,0.085500,0.461823,1.248171,0.000000,6.267672
0.020000,0.515775,0.702976,0.094986,0.486787,1.248171,0.000000,6.266113
0.020000,0.525759,0.702798,0.104971,0.511750,1.248171,-0.000000,6.264516
0.020000,0.536242,0.702594,0.115456,0.536714,1.248171,0.000000,6.262888
0.020000,0.547223,0.702362,0.126440,0.561677,1.248171,0.000000,6.261237
0.020000,0.558703,0.702100,0.137923,0.586641,1.248171,-0.000000,6.259569
0.020000,0.570682,0.701807,0.149905,0.611604,1.248171,0.000000,6.257893
0.020000,0.583160,0.701481,0.162387,0.636567,1.248171,-0.000000,6.256217
0.020000,0.596136,0.701120,0.175368,0.661531,1.248171,0.000000,6.254548
0.020000,0.609610,0.700723,0.188848,0.686494,1.248171,0.000000,6.252896
0.020000,0.623583,0.700288,0.202828,0.711458,1.248171,0.000000,6.251270
0.020000,0.638054,0.699814,0.217307,0.736421,1.248171,-0.000000,6.249678
0.020000,0.653023,0.699301,0.232285,0.761385,1.248171,0.000000,6.248131
0.020000,0.668490,0.698747,0.247762,0.786348,1.248171,-0.000000,6.246638
0.020000,0.684456,0.698151,0.263739,0.811311,1.248171,0.000000,6.245210
0.020000,0.700919,0.697514,0.280214,0.836275,1.248171,0.000000,6.243856
0.020000,0.717881,0.696836,0.297190,0.861238,1.248171,-0.000000,6.242589
0.020000,0.735341,0.696116,0.314664,0.886202,1.248171,0.000000,6.241418
0.020000,0.753298,0.695356,0.332638,0.911165,1.248171,-0.000000,6.240355
0.020000,0.771754,0.694556,0.351111,0.936128,1.248171,0.000000,6.239413
0.020000,0.790707,0.693718,0.370083,0.961092,1.248171,0.000000,6.238603
0.020000,0.810159,0.692844,0.389554,0.986055,1.248171,-0.000000,6.237937
0.020000,0.830109,0.691935,0.409525,1.011019,1.248171,0.000000,6.237429
0.020000,0.850558,0.690995,0.429995,1.035982,1.248171,0.000000,6.237091
0.020000,0.871505,0.690027,0.450964,1.060946,1.248171,0.000000,6.236938
0.020000,0.892950,0.689034,0.472433,1.085909,1.248171,0.000000,6.236982
0.020000,0.914895,0.688022,0.494401,1.110872,1.248171,-0.000000,6.237238
0.020000,0.937338,0.686995,0.516868,1.135836,1.248171,0.000000,6.237720
0.020000,0.960281,0.685959,0.539834,1.160799,1.248171,0.000000,6.238445
0.020000,0.983724,0.684921,0.563300,1.185763,1.248171,-0.000000,6.239426
0.020000,1.007667,0.683887,0.587265,1.210726,1.248171,0.000000,6.240681
0.020000,1.032109,0.682866,0.611729,1.235690,1.248171,-0.000000,6.242225
0.020000,1.057053,0.681866,0.636692,1.260653,1.248171,0.000000,6.244076
0.020000,1.082497,0.680897,0.662155,1.285616,1.248171,0.000000,6.246250
0.020000,1.108442,0.679971,0.688117,1.310580,1.248171,0.000000,6.248767
0.020000,1.134889,0.679097,0.714578,1.335543,1.248171,-0.000000,6.251643
0.020000,1.161838,0.678290,0.741539,1.360507,1.248171,0.000000,6.254899
0.020000,1.189288,0.677563,0.768998,1.385470,1.248171,-0.000000,6.258553
0.020000,1.217240,0.676931,0.796957,1.410434,1.248171,0.000000,6.262626
0.020000,1.245693,0.676409,0.825416,1.435397,1.248171,0.000000,6.267139
0.020000,1.274648,0.676015,0.854373,1.460360,1.248171,-0.000000,6.272113
0.020000,1.304104,0.675768,0.883830,1.485324,1.248171,0.000000,6.277569
0.020000,1.334060,0.675688,0.913786,1.510287,1.248171,0.000000,0.000345
0.020000,1.364515,0.675797,0.944242,1.535251,1.248171,-0.000000,0.006834
0.020000,1.395468,0.676116,0.975196,1.560214,1.248171,0.000000,0.013873
0.020000,1.426917,0.676671,1.006650,1.585178,1.248171,0.000000,0.021487
0.020000,1.458859,0.677487,1.038603,1.610141,1.248171,0.000000,0.029700
0.020000,1.491293,0.678593,1.071056,1.635104,1.248171,-0.000000,0.038534
0.020000,1.524214,0.680017,1.104008,1.660068,1.248171,0.000000,0.048014
0.020000,1.557618,0.681791,1.137459,1.685031,1.248171,0.000000,0.058163
0.020000,1.591499,0.683946,1.171409,1.709995,1.248171,-0.000000,0.069005
0.020000,1.625852,0.686518,1.205858,1.734958,1.248171,0.000000,0.080562
0.020000,1.660670,0.689543,1.240807,1.759922,1.248171,0.000000,0.092855
0.020000,1.695943,0.693059,1.276255,1.784885,1.248171,-0.000000,0.105904
0.020000,1.731662,0.697104,1.312203,1.809848,1.248171,0.000000,0.119728
0.020000,1.767814,0.701719,1.348649,1.834812,1.248171,0.000000,0.134341
0.020000,1.804388,0.706948,1.385595,1.859775,1.248171,0.000000,0.149757
0.020000,1.841367,0.712833,1.423040,1.884739,1.248171,-0.000000,0.165986
0.020000,1.878735,0.719419,1.460985,1.909702,1.248171,0.000000,0.183032
0.020000,1.916473,0.726752,1.499428,1.934666,1.248171,-0.000000,0.200896
0.020000,1.954558,0.734877,1.538371,1.959629,1.248171,0.000000,0.219574
0.020000,1.992968,0.743841,1.577813,1.984592,1.248171,0.000000,0.239056
0.020000,2.031675,0.753689,1.617755,2.009556,1.248171,0.000000,0.259324
0.020000,2.070652,0.764468,1.658196,2.034519,1.248171,-0.000000,0.280355
0.020000,2.109868,0.776221,1.699136,2.059483,1.248171,0.000000,0.302117
0.020000,2.149289,0.788993,1.740575,2.084446,1.248171,0.000000,0.324571
0.020000,2.188880,0.802824,1.782513,2.109410,1.248171,0.000000,0.347671
0.020000,2.228604,0.817754,1.824951,2.134373,1.248171,-0.000000,0.371363
0.020000,2.268422,0.833817,1.867888,2.159336,1.248171,0.000000,0.395584
0.020000,2.308294,0.851048,1.911325,2.184300,1.248171,-0.000000,0.420268
0.020000,2.348177,0.869474,1.955260,2.209263,1.248171,0.000000,0.445340
0.020000,2.388031,0.889122,1.999695,2.234227,1.248171,0.000000,0.470722
0.020000,2.426376,0.909231,2.044629,2.259190,1.248171,0.000000,0.492878
0.020000,2.466589,0.930373,2.090063,2.284154,1.248171,0.000000,0.475695
0.020000,2.507577,0.951105,2.135996,2.309117,1.248171,-0.000000,0.461368
