dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.422954,0.350677,0.000125,0.012482,0.624086,31.204283,0.000390
0.020000,0.422918,0.350677,0.000161,0.001815,-0.533317,-57.870123,0.000287
0.020000,0.422845,0.350677,0.000234,0.003625,0.090464,31.189059,0.000082
0.020000,0.423835,0.350677,0.001223,0.049492,2.293387,110.146108,6.282960
0.020000,0.425688,0.350677,0.003077,0.092653,2.158050,-6.766822,6.282552
0.020000,0.428005,0.350674,0.005394,0.115863,1.160478,-49.878605,6.282045
0.020000,0.430788,0.350670,0.008176,0.139103,1.161998,0.075998,6.281441
0.020000,0.434035,0.350664,0.011423,0.162380,1.163862,0.093197,6.280740
0.020000,0.437749,0.350653,0.015137,0.185700,1.165972,0.105506,6.279947
0.020000,0.441930,0.350638,0.019319,0.209068,1.168432,0.123013,6.279063
0.020000,0.446580,0.350616,0.023969,0.232492,1.171191,0.137952,6.278092
0.020000,0.451700,0.350587,0.029088,0.255977,1.174254,0.153136,6.277038
0.020000,0.457290,0.350550,0.034679,0.279529,1.177600,0.167318,6.275903
0.020000,0.463353,0.350502,0.040742,0.303154,1.181248,0.182406,6.274693
0.020000,0.469890,0.350442,0.047279,0.326859,1.185230,0.199074,6.273411
0.020000,0.476902,0.350369,0.054292,0.350647,1.189412,0.209089,6.272063
0.020000,0.484392,0.350280,0.061783,0.374527,1.194012,0.230013,6.270653
0.020000,0.492362,0.350175,0.069753,0.398504,1.198839,0.241327,6.269188
0.020000,0.500813,0.350050,0.078204,0.422583,1.203943,0.255247,6.267672
0.020000,0.509747,0.349904,0.087140,0.446770,1.209382,0.271928,6.266113
0.020000,0.519167,0.349736,0.096561,0.471072,1.215051,0.283458,6.264516
0.020000,0.529075,0.349543,0.106471,0.495493,1.221066,0.300716,6.262888
0.020000,0.539473,0.349323,0.116872,0.520039,1.227290,0.311218,6.261237
0.020000,0.550365,0.349075,0.127766,0.544717,1.233897,0.330333,6.259569
0.020000,0.561752,0.348796,0.139157,0.569530,1.240681,0.339234,6.257893
0.020000,0.573638,0.348486,0.151046,0.594486,1.247770,0.354444,6.256217
0.020000,0.586025,0.348141,0.163438,0.619589,1.255164,0.369671,6.254548
0.020000,0.598916,0.347761,0.176335,0.644845,1.262821,0.382884,6.252896
0.020000,0.612315,0.347344,0.189740,0.670260,1.270724,0.395157,6.251270
0.020000,0.626224,0.346889,0.203657,0.695838,1.278900,0.408789,6.249678
0.020000,0.640647,0.346394,0.218089,0.721585,1.287372,0.423613,6.248131
0.020000,0.655588,0.345859,0.233039,0.747507,1.296104,0.436588,6.246638
0.020000,0.671049,0.345282,0.248511,0.773609,1.305095,0.449551,6.245210
0.020000,0.687035,0.344664,0.264509,0.799896,1.314352,0.462835,6.243856
0.020000,0.703549,0.344003,0.281036,0.826374,1.323903,0.477578,6.242589
0.020000,0.720596,0.343301,0.298097,0.853049,1.333729,0.491279,6.241418
0.020000,0.738179,0.342556,0.315696,0.879925,1.343815,0.504284,6.240355
0.020000,0.756302,0.341771,0.333836,0.907009,1.354185,0.518503,6.239413
0.020000,0.774970,0.340945,0.352522,0.934306,1.364859,0.533707,6.238603
0.020000,0.794187,0.340081,0.371759,0.961823,1.375833,0.548704,6.237937
0.020000,0.813957,0.339181,0.391550,0.989564,1.387076,0.562141,6.237429
0.020000,0.834287,0.338246,0.411901,1.017537,1.398663,0.579341,6.237091
0.020000,0.855179,0.337281,0.432816,1.045749,1.410551,0.594442,6.236938
0.020000,0.876641,0.336288,0.454300,1.074204,1.422777,0.611260,6.236982
0.020000,0.898675,0.335271,0.476358,1.102911,1.435343,0.628310,6.237238
0.020000,0.921289,0.334236,0.498996,1.131876,1.448262,0.645965,6.237720
0.020000,0.944488,0.333189,0.522218,1.161107,1.461548,0.664280,6.238445
0.020000,0.968277,0.332135,0.546030,1.190612,1.475232,0.684211,6.239426
0.020000,0.992662,0.331082,0.570438,1.220397,1.489286,0.702711,6.240681
0.020000,1.017649,0.330038,0.595447,1.250473,1.503781,0.724729,6.242225
0.020000,1.043246,0.329012,0.621064,1.280847,1.518692,0.745579,6.244076
0.020000,1.069457,0.328015,0.647295,1.311528,1.534032,0.766965,6.246250
0.020000,1.096291,0.327056,0.674145,1.342525,1.549878,0.792314,6.248767
0.020000,1.123753,0.326150,0.701622,1.373848,1.566146,0.813419,6.251643
0.020000,1.151850,0.325308,0.729732,1.405507,1.582931,0.839254,6.254899
0.020000,1.180590,0.324547,0.758483,1.437511,1.600192,0.863008,6.258553
0.020000,1.209980,0.323882,0.787880,1.469870,1.617953,0.888073,6.262626
0.020000,1.240027,0.323331,0.817932,1.502594,1.636209,0.912788,6.267139
0.020000,1.270738,0.322913,0.848646,1.535693,1.654952,0.937148,6.272113
0.020000,1.302121,0.322651,0.880029,1.569177,1.674218,0.963332,6.277569
0.020000,1.334182,0.322565,0.912090,1.603054,1.693852,0.981667,0.000345
0.020000,1.366928,0.322681,0.944837,1.637334,1.713981,1.006461,0.006834
0.020000,1.400367,0.323026,0.978277,1.672022,1.734431,1.022513,0.013873
0.020000,1.434504,0.323629,1.012420,1.707126,1.755177,1.037276,0.021487
0.020000,1.469346,0.324520,1.047273,1.742649,1.776157,1.049035,0.029700
0.020000,1.504897,0.325732,1.082845,1.778594,1.797253,1.054759,0.038534
0.020000,1.541162,0.327300,1.119144,1.814959,1.818264,1.050567,0.048014
0.020000,1.578145,0.329264,1.156179,1.851740,1.839053,1.039430,0.058163
0.020000,1.615847,0.331663,1.193957,1.888931,1.859505,1.022600,0.069005
0.020000,1.654270,0.334540,1.232488,1.926516,1.879247,0.987111,0.080562
0.020000,1.693412,0.337941,1.271777,1.964477,1.898067,0.941009,0.092855
0.020000,1.733270,0.341914,1.311833,2.002789,1.915611,0.877222,0.105904
0.020000,1.773839,0.346508,1.352661,2.041420,1.931538,0.796353,0.119728
0.020000,1.815111,0.351778,1.394268,2.080328,1.945401,0.693129,0.134341
0.020000,1.857073,0.357777,1.436657,2.119462,1.956716,0.565733,0.149757
0.020000,1.899712,0.364563,1.479833,2.158764,1.965114,0.419927,0.165986
0.020000,1.943008,0.372194,1.523796,2.198160,1.969779,0.233231,0.183032
0.020000,1.986938,0.380730,1.568547,2.237570,1.970521,0.037113,0.200896
0.020000,2.031473,0.390232,1.614085,2.276901,1.966512,-0.200443,0.219574
0.020000,2.076582,0.400759,1.660406,2.316044,1.957144,-0.468435,0.239056
0.020000,2.122226,0.412373,1.707504,2.354892,1.942434,-0.735458,0.259324
0.020000,2.168360,0.425131,1.755370,2.393316,1.921178,-1.062807,0.280355
0.020000,2.214937,0.439091,1.803994,2.431186,1.893502,-1.383832,0.302117
0.020000,2.261901,0.454307,1.853361,2.468369,1.859171,-1.716519,0.324571
0.020000,2.309193,0.470829,1.903456,2.504727,1.817905,-2.063290,0.347671
0.020000,2.356748,0.488701,1.954259,2.540134,1.770353,-2.377630,0.371363
0.020000,2.404497,0.507965,2.005748,2.574453,1.715931,-2.721116,0.395584
0.020000,2.452370,0.528653,2.057899,2.607574,1.656062,-2.993433,0.420268
0.020000,2.500290,0.550793,2.110687,2.639387,1.590617,-3.272228,0.445340
0.020000,2.548183,0.574404,2.164083,2.669825,1.521895,-3.436105,0.470722
0.020000,2.593461,0.598138,2.215205,2.556069,-5.687772,-360.483386,0.492878
0.020000,2.628305,0.616456,2.254570,1.968257,-29.390613,-1185.142024,0.475695
0.020000,2.664778,0.634903,2.295443,2.043668,3.770553,1658.058289,0.461368
0.020000,2.702833,0.653537,2.337816,2.118614,3.747290,-1.163129,0.449872
0.020000,2.742423,0.672431,2.381683,2.193365,3.737560,-0.486516,0.441196
0.020000,2.783506,0.691673,2.427048,2.268273,3.745388,0.391400,0.435348
0.020000,2.826043,0.711367,2.473923,2.343756,3.774164,1.438818,0.432362
0.020000,2.870000,0.731638,2.522329,2.420303,3.827372,2.660400,0.432296
0.020000,2.915347,0.752628,2.572299,2.498459,3.907799,4.021335,0.435244
0.020000,2.962054,0.774505,2.623875,2.578830,4.018524,5.536244,0.441330
0.020000,3.010093,0.797460,2.677117,2.662069,4.161968,7.172183,0.450717
0.020000,3.059431,0.821714,2.732094,2.748882,4.340617,8.932451,0.463607
0.020000,3.110029,0.847521,2.788894,2.839994,4.555617,10.750029,0.480245
0.020000,3.161834,0.875173,2.847617,2.936129,4.806756,12.556953,0.500915
0.020000,3.214626,0.904917,2.908211,3.029725,4.679792,-6.348211,0.525865
0.020000,3.267888,0.936858,2.970316,3.105245,3.776025,-45.188353,0.555174
0.020000,3.321072,0.971074,3.033556,3.162012,2.838331,-46.884681,0.588798
0.020000,3.373838,1.007753,3.097818,3.213073,2.553051,-14.263997,0.626732
0.020000,3.425899,1.047128,3.163093,3.263742,2.533455,-0.979801,0.668951
0.020000,3.476910,1.089389,3.229336,3.312160,2.420889,-5.628328,0.715330
0.020000,3.526465,1.134656,3.296453,3.355881,2.186045,-11.742195,0.765602
0.020000,3.574106,1.182954,3.364293,3.391998,1.805862,-19.009143,0.819337
0.020000,3.619345,1.234188,3.432642,3.417433,1.271740,-26.706093,0.875929
0.020000,3.661703,1.288132,3.501229,3.429335,0.595093,-33.832351,0.934611
0.020000,3.700744,1.344431,3.569740,3.425576,-0.187929,-39.151120,0.994495
0.020000,3.736123,1.402623,3.637843,3.405140,-1.021809,-41.693971,1.054635
0.020000,3.767613,1.462177,3.705210,3.368360,-1.838994,-40.859278,1.114106
0.020000,3.795125,1.522541,3.771548,3.316861,-2.574976,-36.799101,1.172071
