dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.999680,3.353123,0.000050,0.004987,0.249348,12.467378,0.000906
0.020000,0.999705,3.353123,0.000074,0.001220,-0.188369,-21.885804,0.000837
0.020000,0.999745,3.353123,0.000115,0.002032,0.040618,11.449349,0.000722
0.020000,0.999802,3.353123,0.000172,0.002843,0.040567,-0.002568,0.000560
0.020000,0.999875,3.353123,0.000245,0.003653,0.040495,-0.003595,0.000354
0.020000,0.999964,3.353123,0.000334,0.004461,0.040403,-0.004622,0.000101
0.020000,1.000499,3.353123,0.000868,0.026722,1.113043,53.632009,6.282988
0.020000,1.001368,3.353123,0.001738,0.043472,0.837494,-13.777460,6.282644
0.020000,1.002353,3.353122,0.002723,0.049260,0.289385,-27.405429,6.282255
0.020000,1.003454,3.353121,0.003824,0.055042,0.289099,-0.014284,6.281821
0.020000,1.004671,3.353119,0.005040,0.060822,0.289035,-0.003226,6.281342
0.020000,1.006003,3.353116,0.006372,0.066596,0.288681,-0.017688,6.280818
0.020000,1.007450,3.353113,0.007820,0.072367,0.288556,-0.006266,6.280250
0.020000,1.009013,3.353107,0.009382,0.078132,0.288238,-0.015874,6.279638
0.020000,1.010690,3.353101,0.011060,0.083891,0.287946,-0.014611,6.278982
0.020000,1.012483,3.353093,0.012853,0.089644,0.287684,-0.013093,6.278283
0.020000,1.014391,3.353083,0.014761,0.095392,0.287351,-0.016643,6.277540
0.020000,1.016414,3.353071,0.016783,0.101132,0.286999,-0.017605,6.276755
0.020000,1.018551,3.353056,0.018921,0.106864,0.286609,-0.019534,6.275928
0.020000,1.020803,3.353039,0.021173,0.112589,0.286247,-0.018107,6.275059
0.020000,1.023169,3.353018,0.023539,0.118305,0.285844,-0.020139,6.274149
0.020000,1.025649,3.352995,0.026019,0.124014,0.285416,-0.021367,6.273198
0.020000,1.028243,3.352968,0.028613,0.129713,0.284942,-0.023744,6.272206
0.020000,1.030951,3.352936,0.031321,0.135402,0.284483,-0.022933,6.271175
0.020000,1.033772,3.352901,0.034143,0.141082,0.284006,-0.023835,6.270104
0.020000,1.036707,3.352861,0.037078,0.146753,0.283505,-0.025077,6.268995
0.020000,1.039755,3.352816,0.040126,0.152412,0.282972,-0.026632,6.267848
0.020000,1.042916,3.352766,0.043287,0.158059,0.282340,-0.031587,6.266663
0.020000,1.046189,3.352709,0.046561,0.163696,0.281873,-0.023346,6.265441
0.020000,1.049575,3.352647,0.049948,0.169320,0.281208,-0.033261,6.264184
0.020000,1.053073,3.352579,0.053446,0.174933,0.280625,-0.029169,6.262891
0.020000,1.056683,3.352503,0.057057,0.180532,0.279964,-0.033054,6.261563
0.020000,1.060404,3.352420,0.060779,0.186119,0.279357,-0.030333,6.260201
0.020000,1.064237,3.352329,0.064613,0.191691,0.278577,-0.038983,6.258806
0.020000,1.068181,3.352230,0.068558,0.197250,0.277979,-0.029897,6.257379
0.020000,1.072235,3.352122,0.072614,0.202795,0.277245,-0.036702,6.255920
0.020000,1.076400,3.352006,0.076781,0.208324,0.276441,-0.040220,6.254430
0.020000,1.080675,3.351880,0.081057,0.213839,0.275717,-0.036175,6.252911
0.020000,1.085060,3.351743,0.085444,0.219338,0.274951,-0.038345,6.251362
0.020000,1.089554,3.351597,0.089940,0.224820,0.274145,-0.040291,6.249786
0.020000,1.094157,3.351439,0.094546,0.230287,0.273321,-0.041163,6.248182
0.020000,1.098868,3.351270,0.099261,0.235736,0.272481,-0.042021,6.246552
0.020000,1.103688,3.351090,0.104084,0.241169,0.271624,-0.042866,6.244897
0.020000,1.108616,3.350897,0.109016,0.246584,0.270750,-0.043697,6.243218
0.020000,1.113652,3.350691,0.114056,0.251981,0.269834,-0.045775,6.241515
0.020000,1.118794,3.350472,0.119203,0.257358,0.268878,-0.047831,6.239790
0.020000,1.124043,3.350240,0.124457,0.262718,0.268009,-0.043426,6.238045
0.020000,1.129399,3.349993,0.129818,0.268060,0.267071,-0.046914,6.236279
0.020000,1.134860,3.349732,0.135286,0.273379,0.265975,-0.054780,6.234494
0.020000,1.140427,3.349456,0.140860,0.278681,0.265104,-0.043570,6.232691
0.020000,1.146099,3.349164,0.146539,0.283962,0.264027,-0.053861,6.230872
0.020000,1.151875,3.348856,0.152323,0.289222,0.263028,-0.049922,6.229037
0.020000,1.157755,3.348532,0.158212,0.294461,0.261936,-0.054632,6.227188
0.020000,1.163739,3.348191,0.164206,0.299680,0.260960,-0.048797,6.225326
0.020000,1.169826,3.347832,0.170304,0.304875,0.259733,-0.061319,6.223452
0.020000,1.176016,3.347456,0.176505,0.310050,0.258736,-0.049859,6.221568
0.020000,1.182307,3.347062,0.182809,0.315202,0.257617,-0.055972,6.219674
0.020000,1.188701,3.346650,0.189215,0.320331,0.256467,-0.057472,6.217772
0.020000,1.195195,3.346218,0.195724,0.325437,0.255283,-0.059197,6.215863
0.020000,1.201790,3.345767,0.202334,0.330519,0.254117,-0.058316,6.213949
