dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.000000,3.000000,0.000124,0.012385,0.619234,30.961675,0.000293
0.020000,1.000000,3.000000,0.000619,0.037154,1.238467,30.961675,0.000216
0.020000,1.000000,3.000000,0.001610,0.061923,1.238467,-0.000000,0.000063
0.020000,1.001082,3.000000,0.003096,0.086693,1.238467,0.000000,6.283018
0.020000,1.003063,2.999999,0.005078,0.111462,1.238467,-0.000000,6.282713
0.020000,1.005540,2.999998,0.007555,0.136231,1.238467,0.000000,6.282334
0.020000,1.008512,2.999994,0.010527,0.161001,1.238467,-0.000000,6.281881
0.020000,1.011980,2.999989,0.013995,0.185770,1.238467,0.000000,6.281356
0.020000,1.015943,2.999981,0.017958,0.210539,1.238467,-0.000000,6.280761
0.020000,1.020402,2.999968,0.022416,0.235309,1.238467,0.000000,6.280097
0.020000,1.025356,2.999951,0.027370,0.260078,1.238467,0.000000,6.279367
0.020000,1.030805,2.999928,0.032819,0.284847,1.238467,-0.000000,6.278572
0.020000,1.036749,2.999898,0.038764,0.309617,1.238467,0.000000,6.277715
0.020000,1.043189,2.999860,0.045204,0.334386,1.238467,-0.000000,6.276799
0.020000,1.050124,2.999812,0.052139,0.359155,1.238467,0.000000,6.275827
0.020000,1.057555,2.999754,0.059570,0.383925,1.238467,0.000000,6.274801
0.020000,1.065481,2.999683,0.067496,0.408694,1.238467,0.000000,6.273726
0.020000,1.073902,2.999599,0.075918,0.433463,1.238467,0.000000,6.272605
0.020000,1.082819,2.999499,0.084835,0.458233,1.238467,0.000000,6.271441
0.020000,1.092230,2.999383,0.094247,0.483002,1.238467,-0.000000,6.270240
0.020000,1.102137,2.999249,0.104155,0.507771,1.238467,0.000000,6.269004
0.020000,1.112539,2.999094,0.114558,0.532541,1.238467,-0.000000,6.267739
0.020000,1.123436,2.998919,0.125457,0.557310,1.238467,0.000000,6.266448
0.020000,1.134828,2.998721,0.136851,0.582079,1.238467,-0.000000,6.265138
0.020000,1.146715,2.998498,0.148740,0.606849,1.238467,-0.000000,6.263813
0.020000,1.159098,2.998250,0.161125,0.631618,1.238467,0.000000,6.262479
0.020000,1.171975,2.997975,0.174005,0.656388,1.238467,-0.000000,6.261141
0.020000,1.185347,2.997671,0.187380,0.681157,1.238467,0.000000,6.259805
0.020000,1.199214,2.997337,0.201251,0.705926,1.238467,0.000000,6.258476
0.020000,1.213575,2.996973,0.215617,0.730696,1.238467,0.000000,6.257162
0.020000,1.228431,2.996577,0.230479,0.755465,1.238467,0.000000,6.255868
0.020000,1.243782,2.996147,0.245836,0.780234,1.238467,0.000000,6.254602
0.020000,1.259628,2.995684,0.261688,0.805004,1.238467,-0.000000,6.253369
0.020000,1.275968,2.995187,0.278036,0.829773,1.238467,0.000000,6.252178
0.020000,1.292803,2.994655,0.294879,0.854542,1.238467,0.000000,6.251035
0.020000,1.310132,2.994088,0.312218,0.879312,1.238467,0.000000,6.249948
0.020000,1.327956,2.993486,0.330051,0.904081,1.238467,-0.000000,6.248924
0.020000,1.346274,2.992850,0.348381,0.928850,1.238467,0.000000,6.247972
0.020000,1.365087,2.992179,0.367205,0.953620,1.238467,0.000000,6.247099
0.020000,1.384394,2.991474,0.386526,0.978389,1.238467,-0.000000,6.246314
0.020000,1.404196,2.990736,0.406341,1.003158,1.238467,0.000000,6.245626
0.020000,1.424492,2.989968,0.426652,1.027928,1.238467,0.000000,6.245043
0.020000,1.445283,2.989169,0.447458,1.052697,1.238467,0.000000,6.244575
0.020000,1.466569,2.988343,0.468760,1.077466,1.238467,0.000000,6.244229
0.020000,1.488349,2.987491,0.490557,1.102236,1.238467,0.000000,6.244017
0.020000,1.510624,2.986617,0.512849,1.127005,1.238467,0.000000,6.243948
0.020000,1.533395,2.985724,0.535637,1.151774,1.238467,0.000000,6.244031
0.020000,1.556660,2.984815,0.558920,1.176544,1.238467,-0.000000,6.244277
0.020000,1.580421,2.983895,0.582699,1.201313,1.238467,0.000000,6.244696
0.020000,1.604677,2.982968,0.606973,1.226082,1.238467,0.000000,6.245299
0.020000,1.629429,2.982039,0.631742,1.250852,1.238467,-0.000000,6.246097
0.020000,1.654677,2.981115,0.657007,1.275621,1.238467,0.000000,6.247100
0.020000,1.680421,2.980201,0.682767,1.300390,1.238467,0.000000,6.248322
0.020000,1.706661,2.979304,0.709022,1.325160,1.238467,-0.000000,6.249772
0.020000,1.733398,2.978432,0.735773,1.349929,1.238467,0.000000,6.251464
0.020000,1.760631,2.977594,0.763020,1.374698,1.238467,-0.000000,6.253409
0.020000,1.788361,2.976798,0.790761,1.399468,1.238467,-0.000000,6.255620
0.020000,1.816588,2.976055,0.818998,1.424237,1.238467,0.000000,6.258110
0.020000,1.845313,2.975374,0.847731,1.449006,1.238467,-0.000000,6.260892
0.020000,1.874534,2.974767,0.876958,1.473776,1.238467,-0.000000,6.263979
0.020000,1.904253,2.974246,0.906682,1.498545,1.238467,0.000000,6.267386
0.020000,1.934469,2.973824,0.936900,1.523314,1.238467,-0.000000,6.271126
0.020000,1.965181,2.973516,0.967614,1.548084,1.238467,0.000000,6.275213
0.020000,1.996390,2.973336,0.998824,1.572853,1.238467,0.000000,6.279662
0.020000,2.028095,2.973300,1.030528,1.597622,1.238467,-0.000000,0.001302
0.020000,2.060294,2.973425,1.062729,1.622392,1.238467,0.000000,0.006518
0.020000,2.092988,2.973729,1.095424,1.647161,1.238467,-0.000000,0.012141
0.020000,2.126176,2.974231,1.128615,1.671930,1.238467,-0.000000,0.018186
0.020000,2.159854,2.974952,1.162301,1.696700,1.238467,0.000000,0.024667
0.020000,2.194022,2.975912,1.196483,1.721469,1.238467,-0.000000,0.031600
0.020000,2.228678,2.977135,1.231160,1.746238,1.238467,0.000000,0.039000
0.020000,2.263818,2.978644,1.266333,1.771008,1.238467,0.000000,0.046882
0.020000,2.299439,2.980463,1.302000,1.795777,1.238467,0.000000,0.055261
0.020000,2.335538,2.982620,1.338164,1.820547,1.238467,0.000000,0.064150
