dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.000123,2.644400,0.000125,0.012456,0.622819,31.140961,0.000346
0.020000,1.000091,2.644400,0.000157,0.001626,-0.541520,-58.216937,0.000255
0.020000,1.000026,2.644400,0.000222,0.003247,0.081069,31.129402,0.000072
0.020000,1.001028,2.644400,0.001224,0.050120,2.343649,113.129043,6.282984
0.020000,1.002892,2.644399,0.003088,0.093193,2.153655,-9.499716,6.282621
0.020000,1.005223,2.644397,0.005419,0.116527,1.166663,-49.349595,6.282169
0.020000,1.008020,2.644394,0.008217,0.139883,1.167817,0.057697,6.281630
0.020000,1.011286,2.644388,0.011482,0.163267,1.169222,0.070254,6.281004
0.020000,1.015019,2.644378,0.015216,0.186684,1.170830,0.080373,6.280294
0.020000,1.019222,2.644364,0.019418,0.210138,1.172690,0.093017,6.279503
0.020000,1.023895,2.644345,0.024091,0.233634,1.174784,0.104713,6.278631
0.020000,1.029038,2.644319,0.029234,0.257176,1.177103,0.115932,6.277683
0.020000,1.034653,2.644285,0.034850,0.280769,1.179651,0.127385,6.276660
0.020000,1.040741,2.644242,0.040938,0.304417,1.182428,0.138860,6.275566
0.020000,1.047304,2.644189,0.047501,0.328126,1.185449,0.151072,6.274404
0.020000,1.054341,2.644122,0.054539,0.351899,1.188659,0.160472,6.273179
0.020000,1.061856,2.644042,0.062054,0.375742,1.192151,0.174603,6.271893
0.020000,1.069848,2.643947,0.070047,0.399659,1.195845,0.184725,6.270551
0.020000,1.078321,2.643834,0.078520,0.423654,1.199750,0.195220,6.269158
0.020000,1.087275,2.643702,0.087474,0.447733,1.203925,0.208757,6.267717
0.020000,1.096711,2.643549,0.096912,0.471898,1.208276,0.217539,6.266235
0.020000,1.106633,2.643373,0.106836,0.496156,1.212877,0.230054,6.264716
0.020000,1.117041,2.643173,0.117246,0.520510,1.217706,0.241453,6.263165
0.020000,1.127938,2.642946,0.128145,0.544965,1.222756,0.252529,6.261589
0.020000,1.139326,2.642691,0.139536,0.569525,1.228016,0.262982,6.259992
0.020000,1.151206,2.642405,0.151419,0.594195,1.233497,0.274081,6.258382
0.020000,1.163582,2.642088,0.163799,0.618980,1.239215,0.285884,6.256765
0.020000,1.176455,2.641738,0.176677,0.643882,1.245124,0.295463,6.255148
0.020000,1.189827,2.641352,0.190055,0.668908,1.251278,0.307688,6.253536
0.020000,1.203702,2.640929,0.203936,0.694060,1.257630,0.317580,6.251938
0.020000,1.218081,2.640468,0.218323,0.719345,1.264212,0.329136,6.250361
0.020000,1.232968,2.639968,0.233218,0.744764,1.270975,0.338127,6.248813
0.020000,1.248365,2.639427,0.248625,0.770324,1.278001,0.351283,6.247301
0.020000,1.264275,2.638844,0.264545,0.796028,1.285210,0.360460,6.245833
0.020000,1.280701,2.638218,0.280983,0.821881,1.292645,0.371762,6.244419
0.020000,1.297645,2.637549,0.297941,0.847886,1.300267,0.381115,6.243065
0.020000,1.315112,2.636837,0.315422,0.874049,1.308147,0.393970,6.241783
0.020000,1.333103,2.636080,0.333429,0.900374,1.316216,0.403436,6.240579
0.020000,1.351623,2.635280,0.351966,0.926864,1.324509,0.414676,6.239464
0.020000,1.370675,2.634437,0.371037,0.953524,1.333003,0.424712,6.238448
0.020000,1.390262,2.633551,0.390644,0.980359,1.341748,0.437250,6.237539
0.020000,1.410388,2.632623,0.410791,1.007373,1.350697,0.447445,6.236749
0.020000,1.431057,2.631656,0.431483,1.034570,1.359879,0.459071,6.236087
0.020000,1.452273,2.630650,0.452722,1.061956,1.369280,0.470074,6.235565
0.020000,1.474038,2.629608,0.474513,1.089535,1.378933,0.482636,6.235192
0.020000,1.496359,2.628533,0.496859,1.117311,1.388813,0.494005,6.234980
